brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color
msi,MSI Modern 14 C11M Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop#9S7-14J312-242<br> Product Id: 33.01.033.1258,Intel Core i3,Intel,11th,8,512,True,False,-1,56000,14.0,FHD,Classic Black
dell,"Dell Inspiron 15 3535 AMD Ryzen 3 7320U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop<br> Product Id: 33.01.013.1669",AMD Ryzen 3,AMD,Not Applicable,8,256,True,False,-1,56000,15.6,FHD,Carbon Black
hp,HP 250 G8 Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Ash Silver Laptop<br> Product Id: 33.01.020.1486,Intel Core i3,Intel,11th,4,1024,False,True,-1,56500,15.6,FHD,Ash Silver
lenovo,"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 256GB SSD 14 Inch FHD Display Misty Blue Laptop<br> Product Id: 33.01.200.1143",Intel Core i3,Intel,12th,8,256,True,False,-1,56500,14.0,FHD,Misty Blue
lenovo,Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 1115G4 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.986,Intel Core i3,Intel,11th,8,256,True,False,-1,56900,14.0,FHD,Arctic Grey
asus,Asus ExpertBook P2451FA Intel Core i3 10110U 4GB RAM 1TB HDD 14 Inch FHD Display Star Black Laptop<br> Product Id: 33.01.006.1615,Intel Core i3,Intel,10th,4,1024,False,True,-1,57000,14.0,FHD,Star Black
hp,HP 240 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop<br> Product Id: 33.01.020.1424,Intel Core i3,Intel,11th,8,1024,False,True,-1,57500,14.0,FHD,Ash
hp,HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1499,Intel Core i3,Intel,11th,8,1024,False,True,-1,57500,15.6,FHD,Silver
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1107,Intel Core i3,Intel,11th,8,512,True,False,-1,57500,15.6,FHD,Arctic Grey
lenovo,Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1108,Intel Core i3,Intel,11th,8,512,True,False,-1,57500,14.0,FHD,Arctic Grey
hp,HP 255 G8 AMD Ryzen 3 5300U 8GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop<br> Product Id: 33.01.020.1527,AMD Ryzen 3,AMD,Not Applicable,8,1024,False,True,-1,57500,15.6,FHD,Dark Ash Silver
acer,Acer Aspire 3 A315-24P AMD Ryzen 5 7520U 8GB RAM 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1037,AMD Ryzen 5,AMD,Not Applicable,8,512,True,False,-1,58000,15.6,FHD,Pure Silver
infinix,"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.937.01",Intel Core i5,Intel,11th,8,512,True,False,-1,58990,15.6,FHD,Silver
infinix,"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Grey Laptop<br> Product Id: 33.01.937.02",Intel Core i5,Intel,11th,8,512,True,False,-1,58990,15.6,FHD,Grey
lenovo,Lenovo V15 Gen 3 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Iron Grey Laptop<br> Product Id: 33.01.200.1118,Intel Core i3,Intel,12th,8,512,True,False,-1,59500,15.6,FHD,Iron Grey
lenovo,"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 14 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1144",Intel Core i3,Intel,12th,8,512,True,False,-1,59500,14.0,FHD,Arctic Grey
lenovo,"Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop<br> Product Id: 33.01.200.1145",Intel Core i3,Intel,12th,8,512,True,False,-1,59500,15.6,FHD,Abyss Blue
dell,Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Black Laptop<br> Product Id: 33.01.013.1626,Intel Core i3,Intel,12th,8,512,True,False,-1,60500,15.6,FHD,Carbon Black
lenovo,Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Antiglare Display Arctic Grey Laptop<br> Product Id: 33.01.200.1065,Intel Core i3,Intel,11th,8,512,True,False,-1,61000,14.0,FHD,Arctic Grey
